text,true,pred,confidence,correct
ครับป๋า ต้องการแค่นี้จริงๆ ขอให้ยอมเปิดเหอะ,pos,neu,0.55,False
อย่าไปคิดมาก..... ฟอร์จูนเนอร์1.7ล. เบนซ์3-4ล. คนซื้อไม่เคยบ่นเลย,pos,neu,0.61,False
นาวาร่า..แข็งแกร่ง ดุดัน ดั่งขวานบิ่น,neg,pos,0.529,False
ผมมองๆX-Trail minorเหมือนกันครับ ถ้าได้ถุงลมเพิ่ม มันจะเป็นรถที่จบเลยกับประเภทนี้ การขับขี่ก็ดี เบาะหลังสบายสุดในคลาส,neu,pos,0.812,False
แม่หญิงใช้ อายไลเนอร์ มิสทีน รุ่น ซุปเปอร์แบล็ค ฟิคซ์อายไลเนอร์ ข้าอยากใช้เพราะ เส้นคม ดำสนิท ติดทนนาน ให้ดวงตาสวยเฉียบคมมีเสน่ห์ และมิสทีนของออเจ้า ไม่เคยทำให้ข้าผิดหวัง,neu,pos,0.898,False
ไม่รุ้นิ มีหลายน้ำเกิน กินไม่หมด5555,neu,neg,0.511,False
ใช้มา20กว่าปีCRVเท่าอายุลูกสาวคนโตไม่เปลี่ยนเพราะเศรษฐกิจตกสะเก็ด ขาดทุนทางการค้าใช้ดีตลอดไม่รวนให้เสียใจยังรักอยู่เหมือนเดิมอยากพาสามีไปดู #ฮอนด้าที่รัก #EnjoyHonda Thailand,neg,pos,0.765,False
ตอนนี้ รัฐกำลัง ช่วยโรงงานยสูบ คับ เลย จับให้หันมาสูบ ยา แบบเดิม ผม ก็ไม่กล้าพกไปไหน ไกล เหมือนเค้ากำลังเข้มเลย เวลาไปเที่ยว ริมทะเล ยังใงมันก็ แพ้สูบยาไฟฟ้า มันฟินกว่า เยอะ,neu,neg,0.51,False
ตกใจกับ MG ZS จริมๆ ยอมรับว่ามึงขายรถเก่งมาก,pos,neg,0.907,False
แอดมินค่ะ รบกวนสอบถามอีกทีนะคะ เนื้อเปื่อยนี้ทางสาขาที่ให้มาวันนี้น่าจะเป็นชุดใหญ่210นะคะ แต่ของเมื่อวานได้ชุดเล็ก110มาแล้วค่ะ แล้วอย่างนี้ น้อว พนง.จะโดนทางสาขาหักเงินไหมค่ะ เท่ากับว่าลูดค้าได้ส่วรเกินมาชุดเล็ก 1ชุด ค่ะ เห็นใจน้อง พนง.ค่ะ,neu,neg,0.906,False
รักกันจริงต้องผ่านความลำบากไปด้วยกัน #ช้างเติมเต็มคำว่าเพื่อน,pos,neu,0.864,False
"ถึงกับต้องเรียกน้องพนักงานถามว่า ""น้องว่า .. หมูบางไปมั้ยคะ"" 😐",neu,neg,0.94,False
จะหาครีมกันแดดเนื้อเหลว ๆ ไม่หนึบสำหรับเด็กของการ์นิเย่ที่ไทยได้ไหมนะ ชอบมาก,q,neg,0.907,False
บาร์บีคิวพลาซ่า แถลงภาพเนื้อผิดปกติไม่ใช่พยาธิ,neu,neg,0.662,False
ช้าง แก้วใหญ่ น้ำแข็งน้อย กินนี่ฮ่ะ555,pos,neu,0.718,False
เปิดอ็อพชั่น Suzuki Swift 2018 ทั้ง 4 รุ่นย่อย รุ่นไหนคุ้มกว่ากัน?,neu,q,0.896,False
กดไลค์ กดแชร์เพจแล้วค่ะ อยากได้ Garnier Pure Active Sensitive สำหรับผิว Sensitive ของ Garnier ค่ะ,pos,neu,0.516,False
พอมีติดบ้าน 😄,neu,pos,0.515,False
หาซื้อผ้าอนามัยลอรีเอะ ซูเปอร์ เจนเทิล พลัส ได้ที่ 7-Eleven ทุกสาขาได้เลยนะคะ :) http://www.lauriermybrand.com/2013/l-product/super_gen.html,pos,neu,0.99,False
คนแต่งงานแล้ว จะมีความสุขมากเวลาได้ออกมากินเหล้ากับเพื่อน จริงไหมอยากรู้? #100PIPERS #GiveFriends100%,pos,neu,0.634,False
วู้ววววว ^^,neu,pos,0.605,False
"จาก USA 🇺🇸 บอดี้ FB บ้านเรา เปิดกระโปรงโชว์หอย supercharge และค้ำหน้าบน สี่จุด Ultra Racing ข่าวดีคือ ค้ำไม่ติดซุป ข่าวร้ายคือติดซุปไม่ติดค้ำขับไม่มันส์... Cr. Horsepower Industries, LLC Ultra Racing USA - Chassis Tuning Specialist",neu,neg,0.886,False
เซตเนื้อ น่ากินไม่เคยลองเนื้อมังกรของพี่ก้อน แล้วอยากได้ของฟรีคือ เกี๊ยวซ่าพริกเกลือ เหมือนอันที่ใส่ผลไม้ป้ะครับ อยากลอง 😂🙏🏻,neu,pos,0.947,False
จังหวัดตรังครับ เพราะถ้าจะกิน MK เราต้องมีตรัง,pos,neu,0.65,False
No !!,neu,pos,0.541,False
เพชรบูรณ์มีไหมครับ,neu,q,0.805,False
จัดไปอย่าให้เสีย #ยกก๊วนชวนซด #ซุปหม่าล่า #HOTPOTBUFFET,neg,pos,0.612,False
ขอรายละเอียดยาริสคะ,neu,q,0.589,False
ที่นครศรีธรรมราชมีไหมค่ะ,neu,q,0.836,False
ดูๆๆๆ,neu,pos,0.734,False
ฝากทาง honda ช่วยเปลี่ยน กระจกเป็นทรงกลม ด้วยเถอะครับ ขอร้อง กระจกไม่เข้ากับรถเลย ผมจะซื้อแน่นอน,neu,neg,0.944,False
สวย ราคาเท่าไหร่คะ ทดลองขับได้ที่ไหนบ้างคะ,neu,q,0.785,False
ysl ไม่เคยลองอะ แต่เอสเต่พี่ใช่ตอนแบบ ไปงานตามรร อะ,q,neu,0.838,False
https://shopee.co.th/ekk663 กันแดด Biore ถูกสุด,pos,neu,0.581,False
อยากหนีหน้าร้อนไปอยู่ห้างค่ะ แอร์ฟรีไม่เสียตังด้วย 55 🤣 #ร้อนนี้ไม่มีเยิ้ม #kmacosmetics,neg,pos,0.919,False
พิธีบรมราชาภิเษก 4-6 พ.ค. เชื่อสิว่าบริษัทต้องประกาศวันหยุด แล้วถ้าเราลาเพิ่มวันที่ 2-3 เราก็จะได้หยุด 1-6 พ.ค. รวม 6 วันเลยนะเว้ยยยยยย,pos,neu,0.845,False
ตัวเองอันนี้หร่อยกว่า MK อีกน่ากินนนนน,neu,pos,0.979,False
ยุไหน,neu,pos,0.521,False
แถวมอ.~,pos,neu,0.86,False
มันไม่ใช่ไข่พยาธิ #แต่มันคือตัวอ่อนพยาธิเลย!!!!!!!! https://m.facebook.com/story.php?story_fbid=10154963647346455&id=51620386454,neg,neu,0.834,False
ป่ะๆๆกินกัน,neu,pos,0.948,False
ถูกกกกกก 5555,neu,pos,0.665,False
ไม่ชอบต้ม ชอบปิ้งย่างงง,neu,neg,0.866,False
ยังไม่เห็น,neu,neg,0.543,False
บุฟเฟ่บาบีก้อนกันหวา,neu,pos,0.903,False
เราก็ใช้ Mazda 3 ปีนี้เข้าปีที่4 ไม่เคยซ่อมเลย มีแต่เอาไปเช็คปีละครั้ง ซื้อที่ออสเตรเลีย,pos,neu,0.431,False
งดกินลีโอทั้งจังหวัดมันทำหลายแฟนบอลได้ แฟนบอลก้ทำหลายมึงได้,neu,neg,0.914,False
ส่วนผสมสำคัญจากธรรมชาติ(Active Ingredient)ของ Smooth E Acne clear Makeup Cleansing Water คือ 1.Mango Steen Extract สารสกัดธรรมชาติจากเปลือกมังคุด มีคุณสมบัติช่วยสลายต้นตอของการเกิดสิว ป้องกันและดูแลปัญหาสิว สิวอุดตัน 2.Centulla Asiatica Extractสารสกัดธรรมชาติจากใบบัวบก มีคุณสมบัติช่วยลดเลือนริ้วรอย รอยดำ รอยแดงจากสิว #สมูทอีคลีนซิ่งวอเตอร์,pos,neu,0.883,False
โฆษณาผ้าอนามัย เอ่อออด่าเค้ามัยอ่ะ มีปัญญาทได้อย่างเค้าป่ะ,neu,neg,0.652,False
นิสสัน. เอ็กเทลมีเปล่า,neu,q,0.526,False
มีข่าวดีคื ได้เบียร์ยูมา 2ลังฟรีๆ มีใครสนใจมาปารตี้มั้ย,neu,pos,0.528,False
แกใช้ครับ มิสทีน,pos,neu,0.967,False
รีโว่ปีไหนล่ะที่งวดล่ะ700ก่าว ไม่มีบัตรเครดิตทำได้ป้าว,neu,q,0.846,False
อยากแดก ใอ่สัส!! งงพ่องอ่า,pos,neg,0.652,False
รำคานคนแดกมาแล้ว,neu,neg,0.978,False
อะไรไม่รู้ รู้แต่ในฉากสไปดี้มีป้าเมย์ ลาบ และเบียร์ช้าง แสดงว่าหนีไม่พ้นยุค 2010 - 2020 แน่ๆ อิอิ,neg,neu,0.822,False
คู่แข่งเตรียมหนาว! หลุด 'Toyota Corolla 2018' เวอร์ชั่นญี่ปุ่น มีหน้าตาเหมือน Auris ที่เปิดตัวไปก่อนหน้านี้,pos,neu,0.945,False
พวกคนแก่ชอบขวางโลก,pos,neg,0.838,False
เด๋วค่อยเลือกละกันน,neu,pos,0.58,False
ไหนบอกลดน้ำหนัก🙄🙄,neu,neg,0.528,False
หมดโปรไม่ต้องรออิอิ,neu,neg,0.494,False
จัดไห้จ้ะ อาทิตย์นี้,neu,pos,0.77,False
อยากลองใช้ K+ ของลาโรชมากๆเลย ไม่รู้จะช่วยสิวอุดตันได้จริงมั้ย,q,pos,0.66,False
สอบถามหน่อย บัตร MK หมดอายุแล้วแจ้งพนักงานแล้วนะงานบอกว่ารอบริษัทติดต่อกับบัตรใหม่ยังไม่ได้แล้วปัดเก่ายังใช้ได้อยู่หรือเปล่าคะ,neu,q,0.884,False
ซ้ายตัวเก่าขวาตัวใหม่ ความคิดเห็นส่วนตัวนะคะ คนอื่นอาจใช้แล้วถูกก็ได้ มาเล่าให้ฟังเฉยๆปกติใช้ตัวไหนของSulwhasooไม่ไ…,neg,neu,0.816,False
ค้ะๆ😘,neu,pos,0.58,False
ปีละหน 😁 #SinghaPark #Canon #Canon5DMarkIII #5DMarkIII,pos,neu,0.941,False
นิสสัน เอ็กซ์เทรล ที่สุดแห่งรถ โปรดีอยากได้ ต้องติดตาม อย่าพลาดนะค่ะ,pos,neu,0.574,False
#คอเหล้าโปรดทราบ ตอนนี้ RED BLACK ตระกูล Jonny walker กำลังระบาด #แพทย์เตือนกินถึงตายครับ #ส่วนหนึ่งของเหล้าปลอม 200 ลัง มูลค่ากว่า 10 ล้านบาท พร้อมอุปกรณ์#การผลิต ที่ตำรวจจับได้ที่บ้านเช่าเลขที่ 46/7 หมู่ 6 ต.บางหลวง อ.เมือง ปทุมธานี C.r.กลุ่มใลน์แจ้งข่าวสารทั่วไทย ดูไว้ เหล้าที่ดื่มกัน มันจริงแค่ใหน!!!!! #เหล้าเถื่อน,neg,neu,0.532,False
แม่หญิงใช้อายไลน์เนอร์ มิสทีน รุ่น ซุปเปอร์ แบล็ค ฟิคซ์เจ้าค่ะ กรีดตาสวย คมบาดตาพี่หมื่น อยากสวยเหมือนแม่หญิง เบลล่า มาเลยจ้าร่วมเล่นกิจกรรมกันจ้า,neu,pos,0.547,False
ฝากระโปงหน้าวีออสปี05ไช้กี่เมตรคัฟ,neu,q,0.894,False
จะเลี้ยงหรอ,neu,pos,0.59,False
หมูที่บ้านเยอะเลย,neu,pos,0.584,False
เสริมทักษะ. ^^ ต้องรู้ผิดรู้ถูก. ตอนนึ้นานๆกินๆแฮ้ง ลำบากกาย..นานๆที่ สปายสามขวดพอดี ดื่มคนเดียว..หลับ. . ประมาท 25% รึเปล่า.,pos,neu,0.822,False
ขนาดไม่ค่อยแข็งแรงนะ ไปไหนมาไหนไม่ค่อยได้ยังรู้ไปหมดทุกอย่าง ไม่รู้ว่าท่านรู้ได้อย่างไรคนยากคนจนจะอดตายหมดแล้วน่ะ #พูดตามที่เค้ากรอกหูมามั้ง คนเราน่ะถ้าไม่ขี้เกียจซะอย่างอยู่กินอย่างพอเพียงทำไมจะอดตาย คนกรุงเทพฯ เห็นเดินตามห้างกินข้าวกินสุกี้ MK กินชาบูปิ้งย่างตามห้างทั้งหลาย ท่าทางก็ไม่ได้ดูว่าร่ำรวยมากมาย ซื้อของกินของใช้ทีนึงเยอะแยะเต็มรถเข็น เงินพอมีก็ไปซื้อหวยหวังรวยกับเลขชุด โอกาสถูกมีเท่าไหร่กัน คนถูกก็อวดลงข่าวตามหน้า นสพ. 18 ล้าน 30 ล้าน ซื้อเป็นชุดแบบนี้ไม่ใช่ราคาถูกๆ หวยกินไปเท่าไหร่แล้ว คนยากจนจริงๆ ก็มีไม่เถียงแต่ถ้ารู้จักประหยัดอดทนพอเพียงก็พออยู่ได้ ส่วนพวกที่บ่นว่ายากจนจะตายอยู่แล้วน่ะ ส่วนมากมันไม่จนจริงๆ กันทุกคนหรอก ขอว่าให้ข้าฯ ได้ด่า ด่า ด่า เพื่อความสะใจพวกท่านทั้งหลายก็พอ,neg,neu,0.549,False
เกิดไม่ทัน ไม่เข้าใจหรอก 55,neg,neu,0.591,False
อยากกินหรอ,neu,pos,0.923,False
ขนาดนี้ต้องกินแล้วละ555,neu,pos,0.742,False
โลตัสกำแพงเพชร ลดมั้ยค่ะ,neg,q,0.952,False
สาขาไหนบ้าง??,neu,q,0.483,False
สาขา พาสฟอม ลาดหญ้า ไม่ร่วมหรอจ้ะ,neu,q,0.9,False
พ่อเคยไปหาหมอโรคหัวใจ กลับมาเกือบตาย พี้สะใภ้เอายากลับไปที่รพ ได้คำตอบกลับมาแบบ ชิลๆ ว่า ขอโทษจ่ายยาผิด สาสสส ไม่บอกชื่อรพ นะ ไม่อยากโดนฟ้อง,neu,neg,0.543,False
6ชม.จะไปดื่มเหล้ารสชาติกลมกล่อมชั้นเยี่ยมBLEND285 จะไปดูวงดนตรีชั้นยอดของประเทศและผมก็จะสนุกไปในงาน BLENFESLIVEPROJECT,neu,pos,0.583,False
มี biotherm emulsion มั้ยค่ะ,neu,q,0.982,False
ผมขอขับวีโก้เก่าๆดีกว่าคับไม่อยากมีหนี้,neu,neg,0.494,False
พี่ฟลุคสู้ๆ,neu,pos,0.763,False
ผ้าอนามัย elis นี่คือที่สุด อยากเจอคนที่พัฒนาแถบกาว ติดแน่นแบบแกะทีเป้ากกน. กูจะขาด ต้องค่อยๆแงะออก นอนดิ้นให้ตายก็ไม่หลุดไม่ขยับ อยากให้แบ่งความรู้เทคโนโลยีกาวนี้ให้เจ้าอื่นบ้างค่ะ55555555 #ของดีบอกต่อ #ไว้รีวิวห้ามขายของโว้ยยย,pos,neg,0.977,False
กำลังอยากกิน เห็นรูปนี้จบเลย 5555,neu,pos,0.543,False
งั้นพรุ่งนี้เลิกงานไปรับมากินเลย,neu,pos,0.736,False
Dmaxดีกว่าช่วงล่างของrevo,neu,neg,0.636,False
เอมเค บิงซูสเวนเซน หมูเตะศรีชา,neu,neg,0.699,False
ผมกำลังจะเลิกบุหรี่เลยครับพี,neu,pos,0.689,False
น่าจะหยุดบังคับใช้กฎหมายไว้ก่อน,neg,neu,0.557,False
คงใกล้จบแล้วแน่ๆ,neg,neu,0.462,False
พี่ค่ะเฟอร์จูนเนอร์ราคาเท่าไรค่ะปีไม่ต้องใหม่มากก็ได้ค่ะ,neu,q,0.788,False
นานๆทีไม่เสียหาย555,neg,pos,0.879,False
มีแป้งลอร่าไม๊คะ,neu,q,0.819,False
ชุดสุดคุ้มวาไรตี้ ชุดสเปเชียลหมู ชุดสเปเชียลทะเล,pos,neu,0.877,False
แล้วโปรวันพ่ออะไรค่ะ,q,neu,0.771,False
ดีแมคออนิวดาวเท่าไหล่ครับ,neu,q,0.821,False
อิเชี้ยมึงเอ้ยยย มันเปิดแล้วว้อยยย,neu,neg,0.901,False
รอไปจัดที่บ้านเลย,neu,pos,0.692,False
มีของเชฟเทรลเบลเซอร์หรือเปล่าครับเทอิน,neu,q,0.828,False
ไปมาแล้วคร้าวันนี้เอง,neu,pos,0.884,False
🤣🤣🤣🤣,pos,neu,0.608,False
ป่านนี้กุยังไม่เจอ 4u2 ไม่อยากสั่งออนไลน์,neu,neg,0.99,False
เขย่าอย่างเดียวที่บ้านได้ใช่ป่าว,pos,neu,0.771,False
ไปอีกล่ะ555,neu,pos,0.917,False
กูจะเลิกกินสิงห์ทุกอย่างกระทิงแดงก็จะเลิก,neu,neg,0.975,False
ธนาธร - ยอดอัลบั้มสูง - ดิจิตอลกาก แม้ว - ยอดอัลบั้มไม่รู้ - แต่ดิจิตอลพุ่งกระชูด ลุง - ค่ายดันจนน่ารำคาญไอซั๊ซ อภิสิทธิ์ - นูกู? #เลือกตั้ง62,neu,neg,0.989,False
น้ำตบโทนี่โมลี่ดีไหมวะ55555555,q,neu,0.643,False
นิสสันนาวารา เอกลักษณ์เฉพาะตัวไม่เหมือนใครสนใจทดลองขับโชว์รูมใกล้บ้าน,neu,pos,0.558,False
กุนึกว่าขวดเบียร์ช้างสัส5555,neu,neg,0.941,False
Mu x. สีนี้ราคาเท่าไหร,neu,q,0.955,False
ไม่มีค่า,neu,neg,0.918,False
ผมและพรรคอนาคตใหม่โดนโจมตีและทำร้ายรอบด้านในเวลานี้จากพวกข่าวปลอมและหน่วยปฎิบัติการข่าวสารของฝ่ายตรงข้าม ผมเป็นคนอารมณ์ดีและมองโลกในแง่บวก เลยเอาฮากับมันดีกว่า ไปแก้ข่าวไปก็เสียเวลาและทรัพยากรเปล่าๆ อะไรปล่อยได้ก็ปล่อยไปครับ เราเดินหน้าของเราดีกว่า #อนาคตใหม่,neu,pos,0.394,False
ส่วนผมกำลังคิดว่า หากหน้ากระโปรงรถไม่มีโลโก้โตโยต้า ป่านนี้คงลำบาก,neu,neg,0.667,False
สายลมแห่งรัก ธรรมมะติดปีก ห่างกันสักพัก คือการหมดรักเนียน จัดเลยไหม,pos,neu,0.837,False
แต่ละเมนูน่าโดนมากๆๆๆ😋😋😋😋,neu,pos,0.928,False
วันเกิดกูกินไหมเดี๋ยวซื้อให้กิน,neu,pos,0.608,False
เห็นด้วย,neu,pos,0.798,False
ถ้าหลักการคือ ประมุขอยู่ภายใต้รัฐธรรมนูญและอำนาจสูงสุดเป็นของประชาชนจริง การจัดลำดับความสำคัญนี่จะไม่เป็นประเด็นเลยนะ ยังไงก็ต้องยึดเรื่องการเลือกตั้งเป็นหลัก #ประเทศสมมติ,neu,neg,0.521,False
มีใครจะซื้อยาริสมั้ย,neu,q,0.78,False
เป็นเหมือนรถสปอร์ตในราคาที่เอื้อมถึงได้สีรถทันสมัยสุดๆจ้า #ฮอนด้าที่รัก #EnjoyHondaThailand,neu,pos,0.691,False
อย่างต่ำสองพันนะรวมทุกอย่างแถมรุ่นถูกสุดด้วย,neg,pos,0.485,False
แล้วสั่งที่ไหนค่ะ,neu,q,0.819,False
สาขาเซ็นทรัลพระราม2ปิดทั้ง2ร้านเหรอคะ *ร้านที่ร่วมกับDaidomon,neu,q,0.943,False
ชุดตอกไข่ยังมีอยู่ไมคะ,pos,q,0.723,False
“การต่อสู้เรื่องสิ่งแวดล้อมคือสงคราม ถ้าคุณไม่ทำสงครามคุณสู้รัฐไม่ได้” พ่อไม้ สุรพันธ์ รุจิไชยวัฒน์ รองหัวหน้าพรรคสามัญชน #สามัญชน พรรคการเมืองที่มีนโยบายสิ่งแวดล้อมเฟี้ยวฟ้าวที่สุดในสามโลก ขอบคุณ #Pepperoni News,neu,pos,0.835,False
จัดเลยม๊ะ 🤤,neu,pos,0.768,False
จะกินคุ้มไหมน่ะ555,neu,pos,0.508,False
คือแบบจะร้องให้5555 เมื่อก่อนกลับบ้านทางพหลโยธินทุกวันแต่ว่าช่วงนี้เริ่มหมดงบนั่งรถไฟฟ้า เลยเปลี่ยนมานั่งรถตู้ แต่จะกลับไปนั่งรถไฟฟ้าทุกวันเพราะจะถ่ายกับป้ายน้องทุกวันเนย!!!!,neu,pos,0.464,False
ซีคอน ศรีนครินทร์หลังปรับปรุงร้านจะมีไหมคะ,neu,q,0.733,False
ราคา 185.- มาสคาร่าที่ออกแบบหัวแปรงมาพิเศษ 💛ช่วยให้ขนตาหนา 💛โดดเด่นสะดุดตา 💛เรียงเส้นสวย อีกทั้งยังกันน้ำสุดๆ _________,neu,pos,0.622,False
อยากกิน เมื่อไหร่จะมีรีฟิล,neu,pos,0.889,False
แท็กซี่ไม่ใช่toyotaเนอะ?..,neu,neg,0.621,False
555 หาร้านๆ,neu,pos,0.76,False
555555 เอ็นดูแต้ ป่ะ จัดเลย,neu,pos,0.891,False
คือถ้าเข้า เนเจอร์ ก้ต้องเข้าอินนิสฟรี ด้วย รักพี่เสียดายน้อง ไปอีก,neu,neg,0.652,False
ไปบ๋อ,neu,pos,0.882,False
นิสสันไทยน่าตามไปด้วย,neg,pos,0.572,False
เทออออออออออออออออออออออออออ,pos,neu,0.547,False
ไปจั่งได่ละเลิกงานกะปิดแล้ว,neg,neu,0.547,False
สนใจฟอจูนเนอร์ครับ,neu,pos,0.621,False
ชีวิตโดนทำร้าย,neu,neg,0.474,False
เดินไปกิน,neu,pos,0.545,False
วันอังคารหน้าไหมหยุด555,neu,pos,0.866,False
มีที่ไม่เผ็ดบ้างมั้ย แล้วตอบด้วยนะ...,neu,neg,0.56,False
ชีพี เบียร์ช้าง ไม่อุปการะเด็กๆเหมือนคิงพาวเวอร์เลย รวยซ่ะเปล่า,neu,neg,0.83,False
ควยที่3เป็นHeinekenครับ,neg,neu,0.897,False
ต้องโดน มะ 555,neu,pos,0.825,False
เบาๆเนาะเะ5555555กรุบกริบกินเล่น,neu,pos,0.736,False
งั้นๆแหละค่ะ,neg,neu,0.78,False
ตามครับ..เพราะใช้ Honda. อยู่..,neg,pos,0.514,False
โถ่,neu,pos,0.516,False
ใช่ๆ ประเสริฐ จาก Accord มาขับ BM เลย,neg,neu,0.819,False
สนใจยาริสครั,neu,pos,0.886,False
ข้าวสวย ค่ะ สั่งทุกครั้งเลยยยยย ไปกินบาบีก้อน ต้องกินกับข้าวค่ะ ถึงจะฟินสุดๆ,neu,pos,0.949,False
"ผิวบอบบางยิ่งต้องดูแลเป็นพิเศษ… ใหม่! กันแดดสูตรอ่อนโยน เนื้อน้ำนม บางเบา เพื่อผิวแพ้ง่าย ANESSA Essence UV Sunscreen Mild Milk SPF 35 PA+++ และ ANESSA Perfect UV Sunscreen Mild Milk SPF 50+ PA++++ ปกป้องได้ทั้งผิวหน้า และผิวกาย ปราศจากสารเติมแต่งทั้ง น้ำหอม แอลกอฮอล์ และพาราเบน เพื่อดูแลผิวบอบบางแพ้ง่ายโดยเฉพาะ หาซื้อได้แล้ววันนี้ที่ Watsons, Boots, EVEANDBOY, Tsuruha, Matsumoto และ Home Fresh Mart #ANESSA #ANESSABeautySuncare #Sunscreen #ANESSAThailand",pos,neu,0.926,False
มีผ้าอนามัยสำหรับคุนแม่ตอนคลอดเสดมัยค่ะ,neu,q,0.61,False
พวกไม่ชัดเจนกับไม่เหลือเนี่ย ส่วนมากชื่อพรรคก็จะเว่อๆหน่อย5555555555,neu,neg,0.809,False
จริงอันนี้เข้าตาสุดๆ อยากดั้ย,pos,neg,0.546,False
สนใจนะแต่ไม่มีเวลา😈😈😈😈😈,pos,neg,0.461,False
ก้อนดีใจด้วยนะฮ่าบบบ ^^,neu,pos,0.743,False
วีออส ปี 2003-2006 เท่าไหร่ครับ(ปี2548),neu,q,0.865,False
